address,type,x-text
0x102355c4,string,roblox
0x102355cc,string,External
0x102355d8,string,Refs
0x102355e0,string,X
0x102355e4,string,Y
0x102355e8,string,Z
0x102355ec,string,R00
0x102355f0,string,R01
0x102355f4,string,R02
0x102355f8,string,R10
0x102355fc,string,R11
0x10235600,string,R12
0x10235604,string,R20
0x10235608,string,R21
0x1023560c,string,R22
0x10235610,string,R
0x10235614,string,G
0x10235618,string,class
0x10235620,string,Item
0x10235628,string,Properties
0x10235634,string,Feature
0x1023563c,string,hash
0x10235644,string,mimeType
0x10235650,string,xsi:noNamespaceSchemaLocation
0x10235670,string,FALSE
0x10235678,string,False
0x10235680,string,TRUE
0x10235688,string,True
0x10235690,string,%u
0x10235694,string,%.9g
0x1023569c,string,NAN
0x102356a8,string,",;"
0x102356ac,string,"%g, %g, %g"
0x102356b8,string,0x
0x102356cc,string,Medium lilac
0x102356dc,string,Dove blue
0x102356e8,string,Cool yellow
0x102356f4,string,Warm yellowish orange
0x1023570c,string,Light brick yellow
0x10235720,string,Light pink
0x1023572c,string,Light purple
0x1023573c,string,Bright purple
0x1023574c,string,Light lilac
0x10235758,string,Lilac
0x10235760,string,Reddish lilac
0x10235770,string,Brown
0x10235778,string,Rust
0x10235780,string,Medium Royal blue
0x10235794,string,Light Royal blue
0x102357a8,string,Turquoise
0x102357b4,string,Faded green
0x102357c0,string,Dark Curry
0x102357cc,string,Light stone grey
0x102357e0,string,Lemon metalic
0x102357f0,string,Dark stone grey
0x10235800,string,Bright reddish lilac
0x10235818,string,Dark Royal blue
0x10235828,string,Royal blue
0x10235834,string,Medium stone grey
0x10235848,string,Flame reddish orange
0x10235860,string,Reddish brown
0x10235870,string,Flame yellowish orange
0x10235888,string,Fire Yellow
0x10235894,string,Curry
0x1023589c,string,Silver flip/flop
0x102358b0,string,Yellow flip/flop
0x102358c4,string,Red flip/flop
0x102358d4,string,Gun metallic
0x102358e4,string,Tr. Flu. Red
0x102358f4,string,Tr. Flu. Yellow
0x10235904,string,Dark red
0x10235910,string,Sand red
0x1023591c,string,Sand green
0x10235928,string,Light grey metallic
0x1023593c,string,Black metallic
0x1023594c,string,Dark grey metallic
0x10235960,string,Sand yellow metallic
0x10235978,string,Sand violet metallic
