address,size,symbol,name
0x100436d0,0x5b,??$getset@P8Lighting@RBX@@BE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZP812@AEXABV34@@Z@?$PropDescriptor@VLighting@RBX@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Reflection@RBX@@SA?AV?$auto_ptr@VGetSet@?$TypedPropertyDescriptor@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Reflection@RBX@@@std@@P8Lighting@2@BE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@4@XZP852@AEXABV64@@Z@Z,
0x10043730,0x5b,??$getset@P8Lighting@RBX@@BEMXZP812@AEXM@Z@?$PropDescriptor@VLighting@RBX@@M@Reflection@RBX@@SA?AV?$auto_ptr@VGetSet@?$TypedPropertyDescriptor@M@Reflection@RBX@@@std@@P8Lighting@2@BEMXZP852@AEXM@Z@Z,
0x10044080,0x38,?getTimeStr@Lighting@RBX@@QBE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ,
0x10045340,0x78,??$create@VSky@RBX@@@?$Creatable@VInstance@RBX@@@RBX@@SA?AV?$shared_ptr@VSky@RBX@@@boost@@XZ,
0x100453c0,0xaf,?create@Creator@?$FactoryProduct@VSky@RBX@@VInstance@2@$1?sSky@2@3PADA@RBX@@UBE?AV?$shared_ptr@VObject@RBX@@@boost@@XZ,
0x10045640,0x9e,??$?0P8Lighting@RBX@@BE?AVColor3@G3D@@XZP801@AEXV23@@Z@?$PropDescriptor@VLighting@RBX@@VColor3@G3D@@@Reflection@RBX@@QAE@PBD0P8Lighting@2@BE?AVColor3@G3D@@XZP832@AEXV45@@ZW4Functionality@PropertyDescriptor@12@@Z,
0x100456e0,0x9e,??$?0P8Lighting@RBX@@BE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZP801@AEXABV23@@Z@?$PropDescriptor@VLighting@RBX@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Reflection@RBX@@QAE@PBD0P8Lighting@2@BE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZP832@AEXABV45@@ZW4Functionality@PropertyDescriptor@12@@Z,
0x10045d10,0x6c,??0?$BoundFuncDesc@VLighting@RBX@@$$A6A?AVVector3@G3D@@XZ$0A@@Reflection@RBX@@QAE@P8Lighting@2@AE?AVVector3@G3D@@XZPBDW4Security@FunctionDescriptor@12@@Z,
0x10045d80,0x4f,??$?4VVector3@G3D@@@Value@Reflection@RBX@@QAEAAV012@ABVVector3@G3D@@@Z,
0x10045dd0,0x66,?execute@?$BoundFuncDesc@VLighting@RBX@@$$A6A?AVVector3@G3D@@XZ$0A@@Reflection@RBX@@UBEXPAVDescribedBase@23@AAVArguments@FunctionDescriptor@23@@Z,
0x10047270,0x2b,?setTimeStr@Lighting@RBX@@QAEXABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,
0x10047350,0xdb,?connectGeneric@?$SignalDescImpl@$00$$A6AX_N@Z@Reflection@RBX@@MBE?AVconnection@signals@boost@@PAVSignalInstance@23@PAVGenericSlotWrapper@23@W4connect_position@56@@Z,
0x10047ab0,0x2c,?getClassNameStr@Instance@RBX@@QBE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ,
0x10047ae0,0x7,?getName@Instance@RBX@@QBEABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ,
0x10047b70,0x55,?declareSignature@?$BoundFuncDesc@VInstance@RBX@@$$A6A?AV?$shared_ptr@VInstance@RBX@@@boost@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@_N@Z$01@Reflection@RBX@@AAEXPBD0@Z,
